cells,ACTB,FSTL1,JAG1,HEY2,MYCL1,PCNA,ASCL1,CHGA,GAPDH,HSP90AB1,MYCN,RBPJ,CALCA,CHGB,GSTO1,NOTCH1,NCAM1,REST,CCNB1,DLL1,KRT19,JAG2,RPLP0,SPARC,CCND1,IGFBP7,MMP14,NRARP,NOTCH2,SOX2,CD44,DLL4,HES1,QPCT,NOTCH3,SYP,CXCL10,EPCAM,HES5,MDK,NOTCH4,UCHL1,DLL3,emeraldGFP,HEY1,MYC,SLPI,VIM
high-1,17.29721851,18.3759787,21.38146742,999,999,17.42650313,15.93401848,20.004236,13.99639344,15.25127225,16.71025697,17.26481006,12.77131114,20.10050656,20.46635955,27.28825943,19.31259314,19.53444158,17.80512672,23.59962503,17.53626027,999,16.18742455,19.20846397,999,16.37011697,999,999,999,22.13945464,20.92050335,999,20.48300379,17.39311681,20.02363853,20.39762682,19.18653868,18.60158666,25.25670351,19.0295838,999,20.27633167,23.57110601,18.62199797,20.08260204,21.09239934,28.04578126,999
high-10,19.93002935,17.71444675,999,26.98164983,21.94871781,20.11487269,16.64084499,999,13.54760903,15.76489742,17.08428493,17.25099868,20.19230193,20.84248638,999,20.17384682,21.72108002,999,15.93543837,21.8373092,18.84752484,28.65249533,16.19900488,18.93318636,20.61109512,16.26603327,17.5850214,18.69500891,20.44553894,21.10891297,18.52077493,21.0790763,20.9151089,16.25946664,20.83077096,22.45434603,18.5875557,18.71038195,22.88427853,16.55391384,999,999,27.03785396,18.04832215,20.66683651,999,22.082947,999
high-11,22.22708161,999,23.55559293,999,999,21.1067818,17.39843339,999,19.03858002,18.38398727,16.44966914,999,999,999,999,24.48116723,999,999,20.02367752,23.19099661,999,999,17.13028938,21.00598177,20.8835885,15.65741479,20.98425844,999,23.3094331,22.11211173,19.4165328,999,999,16.70063768,20.64446487,20.47243187,999,20.91620034,999,999,999,999,999,999,999,999,27.86404893,21.05565379
high-12,20.08893115,18.23597396,25.78473012,24.10995339,23.26231898,18.7255056,17.84897755,999,14.13271249,16.37091463,16.48614216,18.81690437,999,20.45349419,999,19.60445299,20.21725545,999,17.62474612,20.46294953,16.98071741,28.80073062,17.03863327,21.61816302,20.48208306,17.05685427,17.54107372,20.22410716,999,22.32848294,20.83498232,999,21.75498823,16.7966711,999,21.01467449,999,22.76765871,999,18.43273042,999,999,999,17.62935868,20.41097216,999,22.0896432,999
high-13,19.74389092,18.12782112,999,22.34782794,999,19.90713616,18.4707353,999,15.07456389,17.98917481,17.73936639,17.33583486,24.03176802,27.23128448,999,22.91616688,21.79583823,20.37657238,17.61645371,22.3129019,17.7805581,999,16.66652195,18.64695843,20.49082854,17.34769383,19.66975684,999,999,20.67033323,18.99066434,999,999,16.7838743,19.02447524,27.628849,24.54973838,20.7465323,23.57360134,19.86724767,999,999,999,16.88461423,999,999,24.45960697,20.31249186
high-14,18.40650869,999,21.56441468,25.04484356,25.2346463,17.06138809,14.78267603,17.41261988,13.71951655,16.05656606,16.598928,22.35828908,13.5883687,17.47856301,999,21.1113244,20.32367604,999,16.88370681,19.73031713,999,27.81238769,15.9660655,18.86316827,999,18.28472577,21.34502753,20.94725011,22.34197521,20.42623389,20.82328017,999,20.94768016,16.63903714,999,19.50675444,27.1854222,18.11033244,24.14246279,20.17728138,22.90853595,17.37153475,20.57014092,18.06162066,20.378443,999,22.65547688,26.53825108
high-15,18.7429024,21.63479936,999,28.03531392,25.85058956,21.0644155,17.68176425,999,16.94537511,16.38294522,17.43668545,20.69779854,999,23.08973387,999,21.38251585,999,19.87887106,19.74980328,22.36779854,16.04851352,999,16.2382045,19.84368053,23.44089919,16.7930668,19.88300721,999,20.42773337,20.42319723,18.35592713,999,16.78260998,16.38090615,999,21.437287,999,22.37021572,999,18.51250287,999,999,20.51900163,17.59039275,17.15354378,999,25.5722671,999
high-16,15.65077397,18.45337764,18.89349703,21.47631505,20.4627943,14.48883414,17.90672378,999,13.99045388,13.82369658,15.78957735,17.16060525,999,999,999,17.56542063,999,16.25014521,18.29744175,19.78401737,13.73026889,999,14.07817133,17.48465697,999,15.80383862,17.77982725,17.47489566,17.15654946,19.12378815,16.70561788,20.10477014,17.90227351,14.32397548,17.28316472,20.21118258,17.24253584,16.54620792,19.86686965,17.76155221,999,999,999,15.23619988,18.38459258,999,23.63419082,20.57479731
high-17,20.71016031,18.82529727,27.42740288,25.83929788,999,18.75675137,16.91403719,999,12.83495274,15.43150013,16.33272217,18.584687,20.094093,18.51337529,999,20.64764156,19.84563059,999,16.12934124,24.34791065,20.3701129,999,16.00720335,19.13240687,999,18.92966953,18.63502667,19.93902743,999,21.4988856,20.13538953,999,999,16.61548552,999,20.91191518,19.59144058,21.55225464,22.45800104,16.95085839,25.62023322,999,999,18.20013905,18.193464,999,23.84325458,999
high-18,19.53530824,21.89992958,20.91316121,999,23.29297501,21.13541989,18.45896447,999,13.83387508,18.35097476,16.72171431,19.96380018,19.13489504,19.65173423,23.67575373,20.86469842,999,20.25275858,15.75606112,21.7206423,16.26129815,999,16.27013643,19.32648035,20.55514584,19.72326186,17.62933078,17.63836407,23.65521683,20.50997146,999,999,20.95321431,16.84882419,18.31832616,21.51234904,19.74329744,19.01396517,999,18.52403169,999,999,999,17.52507544,999,999,22.8789515,24.88059852
