Gene,GFPneg #1,GFPneg #2,GFPneg #3,GFPhigh #1,GFPhigh #2,GFPhigh #3
Fmo2,5.868698289,6.814904772,5.727422851,11.78837731,11.97820788,11.94478446
Lamp3,4.168370509,4.330129714,3.977253179,9.798960985,9.86745902,10.09975147
Pon1,3.648525808,4.399747591,3.928226529,9.71972751,9.665342043,9.8634851
Slc34a2,5.459933304,5.964736039,5.195826989,11.20751167,11.26556304,11.10271015
Cxcl15,4.702184035,5.25096766,4.802366283,10.34044867,10.3096947,11.00801417
Cckar,5.253648066,6.058545884,5.217113379,11.1679929,11.09911533,11.05812765
Slco4c1,4.302417144,4.400205503,3.880123866,9.90659375,9.60946375,9.748232728
Retnla,3.885641671,5.344717689,4.192199269,10.28708965,9.887134122,9.921679182
Chad,6.40646027,7.142683068,6.555158638,12.15965619,12.11085721,12.2951582
Gja1,4.879004282,4.77122085,4.443826991,10.40092578,9.706778801,10.24442782
Osmr,5.572175962,6.72143219,5.838960427,11.37148598,11.37637254,11.45383598
Hp,7.091879779,7.419145206,6.957030568,12.58616871,12.36765713,12.53918273
AU021092,5.810334895,6.532225572,6.178028412,11.36293276,11.46627904,11.58545839
Gabrp,6.781650849,7.593485864,6.741214272,12.4368385,12.13499518,12.2503661
Cyp4b1,5.379490369,6.203974799,5.394770394,10.83551533,11.09566377,10.70482196
Tacstd2,5.308699037,5.413536034,5.206773229,10.47485868,10.5607217,10.44599332
Mettl7a1,4.853402419,5.784581273,5.533282295,10.5172634,10.74112963,10.38623022
Slc4a5,5.36160266,5.957847706,5.26602891,10.58104897,10.70703883,10.69027322
Scgb3a1,7.068562988,8.13339577,6.687179824,12.58722992,12.26420089,12.36608245
Ptgs2,6.080928413,5.773411881,5.672584449,11.23866473,10.71278141,10.87605286
Zfp36l1,7.17093905,7.523667874,6.548803895,12.21081342,12.22558348,12.04854845
Ano1,4.63936953,5.016157965,5.77543811,10.23177589,10.20372984,10.20241973
B430010I23Rik,3.913626469,4.341813185,3.764371151,9.153389938,9.068448807,9.002601649
Cyp4f15,3.60098321,3.697188737,4.732246294,9.163989591,9.107075642,8.850092168
Bmp4,4.856811876,5.758382753,6.261939059,10.52932235,10.72914856,10.67223387
C3,6.156102351,6.579117646,6.486176381,11.42983956,11.3430543,11.49040029
Upk3a,6.391525284,6.537646731,6.114512861,11.4825075,11.27224528,11.16049318
Cp,5.335276108,5.196594171,5.007773687,10.02140128,9.986637145,10.31640623
Aox3,4.836476415,5.105238081,4.611297409,9.830017327,9.71592634,9.745482193
Ccdc141,5.266733273,4.824508651,4.879831446,9.944761827,9.931862894,9.805523813
Klk13,5.913684802,5.71996868,5.710530059,10.60121478,10.64863848,10.73663916
Bmp5,4.471573488,4.742583015,4.787128401,9.68063818,9.316028683,9.610046145
Mme,4.8455084,4.466175141,4.546976335,9.673922441,9.09357957,9.693826044
Fmo1,5.489897735,5.838072099,5.66815307,10.26782591,10.63340212,10.65327937
Sftpb,7.642519651,8.917991166,7.779369534,12.88939353,12.99235322,12.9958761
Myo5c,5.884736667,5.925759585,5.789206463,10.67777065,10.90435744,10.47067793
Calml3,5.111267444,4.432443238,5.120390442,9.670392133,9.43458784,9.995701403
Ctsh,5.541259359,5.733847162,5.55691805,10.37554917,10.50447569,10.37976642
Pnliprp1,4.875823611,4.434320974,4.708759736,9.998758588,9.011602769,9.401445244
Rai14,5.646200376,5.761729872,5.489754725,10.49971216,10.46569943,10.31798315
Gsta4,5.719826886,5.471047421,5.50163613,10.40110918,10.38673727,10.22850411
