,SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
Aass,0.015153007781631244,0.007840019653317858,0.012232184684309026,0.031644227324387125,0.013035377807946558
Abat,0.028009376789492176,0.02483140149031767,0.018797621999506943,0.0026464824609344208,0.008501328256100579
Abca3,0.022411172852511332,0.032010475158233645,0.0343780703326355,0.02402948711474763,0.0179365629547067
Abhd14b,0.013091601848793072,0.024183418055014932,0.028968989578104037,0.034923449863712604,0.029387010200340895
Ablim2,0.029587733360934072,0.030448896757019846,0.015872704683100793,0.009671814758760637,0.0017298548619058387
Acadsb,0.015059611839475823,0.017532391894760434,0.01619082813413244,0.039280075081353456,0.022838525783599302
Acot9,0.011813858727933122,0.015605321602908142,0.021308129444530217,0.038675759739368494,0.03907192706828109
Acp6,0.014878022517804016,0.020106938616055968,0.015416948321359925,0.0360830494837242,0.0237320301711264
Acsf2,0.00897683348098922,0.006673404454343767,0.01627449478430105,0.019794091554953923,0.028318212278254738
Acta2,0.007284214790959175,0.0024814374697527952,0.006472087514932573,0.005241344569460473,0.02836180085755147
Actl6b,0.03566495988634973,0.025714584886397173,0.035600072072734905,0.007803288567911717,0.0003868721267295278
Actn1,0.032866180818504606,0.029831817971835917,0.04017977595364954,0.048160429640713244,0.048718154934558354
Acy1,0.009706641333007015,0.02150262530959218,0.022671926020361624,0.03770220281423112,0.027011532466975373
Ada,0.006491195116599051,0.01564974460467031,0.015803679753768923,0.02799585985569395,0.02726522907120814
Adam22,0.028198914586857977,0.021905010427495788,0.03147568340974719,0.01947367769683427,0.013725484317032544
Adam9,0.025576159162324565,0.030676270212876517,0.02929032539919011,0.03907941615840029,0.04460737890226139
Adcy1,0.02759665592319657,0.02788707157596509,0.023325548685654278,0.02160241965208329,0.007664568027795563
Adcyap1,0.0169009235101223,0.032764238279508286,0.011001665227432058,-0.009794632790499651,0.005831469368172956
Adcyap1r1,0.006399795269384367,-0.0035208354506099564,0.03281524759398154,0.005695993963960938,0.001076617727217978
Add2,0.03956870588818431,0.027357010899830767,0.04198998434630461,0.03171954361670777,0.014457382823965399
Adm,0.008900220633432524,0.01989075561964889,0.014335918896887876,0.017395215973464138,0.03548781964005818
Adssl1,0.011883757706887314,0.024658831327478623,0.01975558715541488,0.009766360073196914,0.02469756392003138
Agr2,0.005670503010605947,0.025782380022201973,0.011400350411414894,0.009840053741342055,0.00043693625058886435
Agrn,0.01669234552274556,0.01559300034389936,0.02646760424542797,0.03625961513849643,0.04378489646623015
Agt,-0.0036779880426616087,0.02473168918409894,0.0019504610072854844,-0.004180580777695275,0.015989073858857415
Agtrap,0.022453097650002016,0.025440821934086023,0.030499603091593826,0.04007238079152502,0.03827311213569077
Ahnak,0.0034814457813991105,0.009554995489302224,0.006117704257820957,0.02586938532743728,0.03868811095374535
Ahnak2,0.0041439331339665954,0.003208024227846998,0.01241061270791369,0.0027533115250822507,0.025855654505699845
Aif1l,0.03691254062956629,0.021626895839773046,0.020908138029175866,0.03495862618096991,0.02227817318769666
Ajuba,0.005455501167175642,0.006291485362234764,0.014139029668457833,0.027617340484901488,0.037074070542035674
Ak4,0.017097210940618366,0.021752625909252126,0.0374816269048767,0.04567421101072122,0.02417934331249926
Ak5,0.011283918017132284,0.00813166508562607,0.030201250770106557,0.015633307150503983,0.00847889063523181
Akap12,0.03235746508006302,0.011372942223904416,0.027821812802248932,0.020184503049260498,0.034060236560883174
Akap2,0.02131150429184156,0.027076696442280918,0.023007703747710686,0.013943025034136487,0.03054852106690698
Akr1c2,0.01072251632740349,0.025012496038323805,0.0025078704445708902,0.030309394599954152,0.011056365015717053
Akr1c3,0.006422222069547847,0.023673298431549583,0.0054635327043100305,0.035375313930826414,0.011876478336772535
Akt3,0.039887856752241074,0.02949652739053962,0.04214657460821567,0.0238034688857746,0.022834660166090728
Alcam,0.030303991477909954,0.04341084554411184,0.02199666517512768,0.04460849077058055,0.01872052034319244
Aldh1a1,0.012685902097056086,0.042039397961838226,0.005815028296289717,0.0624450787624563,0.017213245742033256
Aldh7a1,0.021607145789500713,0.026154308004554084,0.04109806088093233,0.03313697786190965,0.041146200257722323
Amacr,0.023609489884657768,0.03980679853757527,0.021929412051733887,0.02128638170357862,0.030821994951821845
Amigo2,0.009588898168565433,0.03197779709869554,0.006697290815958108,0.015420675720683877,0.02614072394887341
Amotl1,0.039775951758461485,0.02351699658665665,0.03421317471616633,0.02412589998142316,0.01499750746147082
Amotl2,0.020235488696135593,0.010296270431698597,0.01785093033635393,0.019451309356765277,0.03960819356713103
Angptl2,0.005582443026316477,0.0015610520632353033,0.028752465433289798,0.0017029124320842577,0.004779230644161949
Ank3,0.018617438789284717,0.016269141338848783,0.02842907363451612,0.03248999508061288,0.005894982849081269
Ankh,0.034884634107614915,0.03654424079379106,0.043382888403854805,0.04058360332893976,0.019160938013020982
Ankrd1,0.0025143705051018047,0.003790024109869964,-0.0018822179240604961,0.0006238308129902974,0.028545664138674424
Ankrd13b,0.02581385783306182,0.018953966630005654,0.038773199463868084,0.03628676859263907,0.019990581287970953
Ankrd6,0.025746421304065834,0.026522084607541612,0.02054206390549916,0.01360900007662133,0.014670705843722017
Ankrd65,0.021463698719211638,0.03000383097216307,0.031357419187828035,0.007969257526922995,0.002666747067792376
Ano9,0.01381874415005054,0.03224143993537724,0.005353143286164452,0.024799854625081327,0.001623294333471385
Antxr1,0.02386702915409288,0.014552000054818931,0.025399552905147487,0.023098428223406634,0.03882238147803434
Anxa1,0.007861083571099561,0.013961429409010023,0.005635110972686981,0.054740493708585164,0.06105941607549152
Anxa11,0.024634867646633783,0.033478397295593765,0.02462888874755367,0.03797632672842453,0.03812508222886711
Anxa2,0.041541501737444635,0.034124583184852834,0.04768845672877624,0.053190812349761606,0.06298818095817382
Anxa4,0.014759528867646698,0.026986568069979153,0.01833762142184486,0.049903604128471064,0.040307073208569855
Anxa6,0.02949165004420687,0.014405122158255037,0.04376786831781629,0.016438473478969248,0.04336035119341952
Ap1m2,0.030245525134866644,0.03872290387816029,0.010071596119319237,0.04559861910677603,0.013031656425295787
Ap3b2,0.035128640362813324,0.028728674652719735,0.0374460891597963,0.020357736625855324,0.010701504523665153
Apba2,0.025919351996705975,0.015453842588692835,0.034866125843669604,0.034514883524241785,0.017951229499784786
Aplp1,0.04966428949603245,0.037160166422864266,0.05240668630907799,0.026246427024463437,0.039496565396936384
Apobec3b,0.014042322728970238,0.028849753188887158,-0.003145499462827108,0.016445164445242553,0.04426202493120392
Apobec3c,0.0059337306008804035,0.013019569540285408,0.0035417639132138182,0.00480490291022529,0.027402417385370127
Apoc1,0.009109323295364796,0.021083613303250266,0.022835129509541398,0.02592101257407671,0.026406895487631556
Apoe,0.00934973343971375,0.010401227391191635,0.019893214105956233,0.015451253953906131,0.028925917461385318
Arhgap8,0.014057297664349013,0.016273979100086666,0.015531851341043287,0.03207861153918634,0.008841197697372254
Arhgef17,0.018179755282165082,0.009402407214650643,0.026137591174103678,0.0227567274173803,0.028513820668793627
