Symbol,Group
DSP,E
SHROOM3,E
SPINT2,E
EPPK1,E
SSH3,E
KLC3,E
SERINC2,E
MPZL2,E
EPB41L5,E
EPCAM,E
CDH1,E
SH3YL1,E
TJP3,E
INADL,E
TMEM45B,E
BSPRY,E
MPP7,E
MUC1,E
CLDN4,E
KRT19,E
EVPL,E
ITGB6,E
SCNN1A,E
GPR56,E
TC2N,E
ANKRD22,E
PRSS22,E
GRHL1,E
GRHL2,E
PRSS8,E
TMEM30B,E
TMC4,E
TMEM125,E
C1orf172,E
ESRP1,E
CLDN7,E
EPN3,E
FXYD3,E
S100A14,E
KRTCAP3,E
CRB3,E
ELMO3,E
ERBB3,E
C1orf116,E
GALNT3,E
STAP2,E
F11R,E
CDH3,E
TACSTD2,E
GPR110,E
RAB25,E
AP1M2,E
CDS1,E
MAL2,E
EPHA1,E
MAPK13,E
ENPP5,E
ST14,E
ANTXR2,M
FN1,M
CARD6,M
TNFRSF21,M
TGFBI,M
PPARG,M
NRP1,M
RBPMS,M
GALNT5,M
HNMT,M
XXYLT1,M
MMP2,M
AXL,M
VIM,M
LIX1L,M
ZEB1,M
