p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.18378588156e-15	1.21938999264e-12	GO:0006810	b	3	transport	87; 226; 230; 291; 333; 383; 403; 526; 529; 533; 537; 665; 781; 805; 811; 928; 975; 1036; 1113; 1312; 1327; 1329; 1337; 1345; 1347; 1351; 1363; 1471; 1522; 1644; 1727; 1915; 1938; 1977; 1984; 2280; 2288; 2664; 2771; 2778; 468; 2987; 3190; 3301; 3309; 3312; 3326; 3382; 3746; 3775; 3799; 3831; 3875; 3921; 4043; 4131; 4504; 801; 4830; 4946; 5270; 5621; 5660; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6048; 6141; 6171; 6230; 6335; 6432; 6447; 6616; 6622; 6634; 6659; 6726; 6727; 6844; 6855; 6992; 7077; 7095; 7163; 7276; 7307; 7314; 7316; 7323; 7341; 7345; 7416; 7450; 7494; 7846; 7857; 7873; 7991; 8417; 8766; 8775; 51124; 9045; 9049; 9066; 9114; 9296; 9324; 9378; 9455; 9550; 9789; 10092; 10103; 10124; 10574; 10671; 10814; 10952; 10959; 10971; 10972; 11142; 11168; 11258; 11316; 11337; 11345; 51079; 340146; 55081; 84275; 89777; 122553; 51669; 375704; 81615; 222068; 83658; 51382; 51693; 415116; 54997; 56649; 155066; 27445; 140735; 140823; 25874; 27075; 92737; 92745; 84418; 29106; 3170; 29978	TRAPPC2L; MPC2; TIMP2; HSPA5; TUSC3; SUMO1; SCG5; HSPA8; NAPA; CDO1; SRP9; FKBP4; APLP1; TMED10; CALM2; CALM1; RAN; COX6A1; DYNLL2; PRNP; IER3IP1; GABARAP; HSP90AB1; COX8A; NDUFA13; ATP6V0D1; SLC38A5; TSPAN13; IFT57; SCG3; SARAF; CPE; RPL14; CTSZ; TSPAN1; GUK1; CACNA2D1; RPL18; SNAP25; DNAJA1; SNRPD3; NME1; KIF5B; PKIG; NRXN1; SYT7; SYP; UBB; FKBP1A; KLC1; RNF5; ATP6V1D; ATP6V1F; CYB5R3; RAB6A; SEC62; ROMO1; SLC25A33; DCTN3; SERPINE2; EIF5A; SRSF7; U2AF1; TTR; TUBA1A; CCT7; RAB11A; FOXA2; PCLO; SRP14; DYNLRB1; COX6C; MAP1B; SERPINB12; UBC; ARPC5; PPP1R11; DDC; CYSTM1; COX7A2; GDI1; TMED2; PSIP1; GNAS; ARG1; PSAP; TPD52; ATP6V1G1; SNCA; VWF; KRT18; LRPAP1; ATP6AP1; SCG2; EIF4E; DCTN6; HMGN3; VDAC1; GNAI2; CD9; RPL41; TMED4; SPCS2; CD81; HNRNPK; EEF1A1; CST3; DNER; ATP6V0B; RPS25; BNIP3L; MANF; COMT; UBE2D3; COX4I1; UCHL1; RPSA; ENHO; ATP6V1E1; STX7; TRAPPC6B; SLC35D3; ARL4A; KCNC1; COX5B; CHGA; ARL3; AIP; SCN9A; RAB2A; TESC; SOX4; XBP1; GABARAPL2; UBQLN2; MT3; YWHAQ; KCNK1; ICA1; ATP6V1B2; HOMER2; PIM3; COPE; TMPRSS4; CPLX2; TMEM163; RAB3B; RAB3A; ATF4; ALDOA; ALDOC; SLC25A4; SEC61B; ACTN1; VAMP2; CALR; OAZ1; PURA; RBP4; ATP6V0E2; EEF2	5116	5107
4.83368450506e-15	6.67048461698e-13	GO:0051234	b	2	establishment of localization	87; 226; 230; 291; 333; 383; 403; 526; 529; 533; 537; 665; 781; 805; 811; 928; 975; 1036; 1113; 1312; 1327; 1329; 1337; 1345; 1347; 1351; 1363; 1471; 1522; 1644; 1727; 1915; 1938; 1977; 1984; 2280; 2288; 2664; 2771; 2778; 468; 2987; 3190; 3301; 3309; 3312; 3326; 3382; 3746; 3775; 3799; 3831; 3875; 3921; 4043; 4131; 4504; 801; 4830; 4946; 5270; 5621; 5660; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6048; 6141; 6171; 6230; 6335; 6432; 6447; 6616; 6622; 6634; 6659; 6726; 6727; 6844; 6855; 6992; 7077; 7095; 7163; 7276; 7307; 7314; 7316; 7320; 7323; 7341; 7345; 7416; 7450; 7494; 7846; 7857; 7873; 8417; 8766; 8775; 51124; 9045; 9049; 9066; 9114; 9296; 9324; 9378; 9455; 9550; 9789; 10092; 10103; 10124; 10574; 10671; 10814; 10952; 10959; 10971; 10972; 11142; 11156; 11168; 11258; 11316; 11337; 11345; 51079; 340146; 89777; 55081; 84275; 122553; 51669; 7991; 375704; 81615; 222068; 83658; 51382; 51693; 415116; 54997; 56649; 155066; 27445; 140735; 140823; 25874; 27075; 92737; 92745; 84418; 29106; 3170; 29978	TRAPPC2L; MPC2; TIMP2; HSPA5; TUSC3; SUMO1; SCG5; HSPA8; NAPA; CDO1; SRP9; FKBP4; APLP1; TMED10; CALM2; CALM1; RAN; COX6A1; DYNLL2; PRNP; IER3IP1; GABARAP; HSP90AB1; COX8A; NDUFA13; ATP6V0D1; SLC38A5; TSPAN13; IFT57; SCG3; SARAF; CPE; RPL14; CTSZ; TSPAN1; GUK1; CACNA2D1; RPL18; SNAP25; DNAJA1; SNRPD3; NME1; KIF5B; PKIG; NRXN1; SYT7; SYP; UBB; FKBP1A; KLC1; RNF5; ATP6V1D; ATP6V1F; CYB5R3; RAB6A; SEC62; ROMO1; SLC25A33; DCTN3; SERPINE2; EIF5A; SRSF7; U2AF1; TTR; TUBA1A; CCT7; RAB11A; FOXA2; PCLO; SRP14; DYNLRB1; COX6C; MAP1B; SERPINB12; UBC; ARPC5; PPP1R11; DDC; CYSTM1; COX7A2; GDI1; TMED2; PSIP1; GNAS; ARG1; UBE2B; PSAP; TPD52; ATP6V1G1; SNCA; VWF; KRT18; LRPAP1; ATP6AP1; SCG2; EIF4E; DCTN6; HMGN3; VDAC1; GNAI2; CD9; RPL41; TMED4; SPCS2; CD81; HNRNPK; EEF1A1; CST3; DNER; ATP6V0B; RPS25; BNIP3L; MANF; COMT; UBE2D3; COX4I1; UCHL1; RPSA; ENHO; ATP6V1E1; STX7; TRAPPC6B; SLC35D3; ARL4A; KCNC1; COX5B; CHGA; ARL3; PTP4A3; AIP; SCN9A; RAB2A; TESC; SOX4; XBP1; GABARAPL2; UBQLN2; MT3; YWHAQ; KCNK1; ICA1; ATP6V1B2; HOMER2; PIM3; COPE; TMPRSS4; CPLX2; TMEM163; RAB3B; RAB3A; ATF4; ALDOA; ALDOC; SLC25A4; SEC61B; ACTN1; VAMP2; CALR; OAZ1; PURA; RBP4; ATP6V0E2; EEF2	5233	5224
5.84983892454e-12	1.12024415405e-09	GO:0008104	b	3	protein localization	291; 403; 526; 529; 533; 537; 665; 805; 811; 975; 1113; 1363; 1977; 1984; 2280; 2664; 2987; 3301; 3309; 3312; 3326; 3382; 3400; 3799; 3875; 3921; 4504; 4738; 801; 4946; 5300; 5621; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6141; 6171; 6230; 6432; 6447; 6616; 6659; 6726; 6727; 6844; 6992; 7095; 7307; 7314; 7316; 7323; 7341; 7494; 7857; 8417; 8766; 8775; 9045; 9049; 9066; 9114; 9168; 9296; 9324; 9378; 9528; 9550; 9789; 10049; 10124; 10574; 10952; 10959; 10971; 10972; 11142; 11156; 11316; 11337; 11345; 51079; 340146; 375704; 222068; 51382; 415116; 54997; 155066; 27445; 140823; 25874; 27020; 29106; 3170	MPC2; HSPA5; SUMO1; SCG5; HSPA8; SCG3; SCG2; SRP9; TMED10; CALM2; CALM1; RAN; ATP6AP1; GABARAP; HSP90AB1; PTP4A3; NDUFA13; ATP6V0D1; CPE; RPL14; GUK1; RPL18; SNAP25; DNAJA1; KIF5B; PKIG; NRXN1; SYT7; FOXA2; UBB; UBC; ENHO; ATP6V1D; ATP6V1F; HMGN3; UBE2D3; SEC62; EIF5A; SRSF7; U2AF1; CCT7; RAB11A; PCLO; SRP14; ROMO1; FKBP1A; PPP1R11; EIF4E; GDI1; ATP6V1G1; KRT18; PRNP; TMSB10; RPL41; NEDD8; TMED4; TMED2; CD81; DNAJB6; ATP6V0B; RPS25; BNIP3L; NAPA; TMEM59; RAB6A; RPSA; ID4; ATP6V1E1; STX7; SLC35D3; SPCS2; CHGA; ARL3; AIP; RAB2A; PIN1; TESC; SOX4; XBP1; NPTN; GABARAPL2; MT3; YWHAQ; ICA1; ATP6V1B2; ARL4A; PIM3; COPE; RAB3B; RAB3A; SLC25A4; SEC61B; VAMP2; CALR; OAZ1; PURA; RBP4; ATP6V0E2	2708	2703
7.34507215185e-12	5.20765615566e-09	GO:0045184	b	4	establishment of protein localization	291; 526; 529; 533; 537; 665; 801; 805; 811; 1113; 1977; 1984; 2664; 2987; 3301; 3312; 3382; 3799; 3875; 3921; 4504; 4946; 5621; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6141; 6171; 6230; 6432; 6447; 6616; 6659; 6726; 6727; 6844; 6992; 7095; 7307; 7314; 7316; 7323; 7494; 7857; 8417; 8766; 8775; 9045; 9049; 9066; 9114; 9296; 9324; 9550; 9789; 10124; 10574; 10952; 10959; 10971; 10972; 11142; 11156; 11316; 11337; 11345; 51079; 340146; 375704; 222068; 51382; 415116; 54997; 155066; 27445; 140823; 25874; 3170	ATP6V1D; ATP6V1F; HMGN3; SPCS2; TMED10; CHGA; SCG5; HSPA8; SCG2; RAB6A; SRP9; UBE2D3; RAB2A; ROMO1; MPC2; SYT7; SEC61B; RPL41; EIF5A; PTP4A3; SRSF7; TMED4; CALM2; TMED2; CALM1; RAN; MT3; YWHAQ; ATP6AP1; CCT7; ICA1; PRNP; RAB11A; FOXA2; PCLO; SOX4; NAPA; SRP14; ATP6V1B2; XBP1; ENHO; SEC62; ATP6V0B; RPS25; BNIP3L; ATP6V1G1; COPE; RPL14; GABARAP; NDUFA13; SLC25A4; PPP1R11; SLC35D3; VAMP2; GUK1; RAB3B; RAB3A; EIF4E; PIM3; GDI1; RPL18; ATP6V0D1; SNAP25; DNAJA1; RPSA; CALR; PKIG; ATP6V1E1; STX7; OAZ1; U2AF1; PURA; TESC; GABARAPL2; UBB; UBC; AIP; RBP4; ATP6V0E2; ARL4A; KIF5B; KRT18	2077	2073
2.022081559e-11	7.16827912665e-09	GO:0043603	b	4	cellular amide metabolic process	383; 811; 1153; 1363; 1522; 1915; 1938; 1974; 1977; 1984; 2643; 468; 2949; 3029; 3312; 56853; 3488; 3921; 4701; 4803; 5122; 5436; 5499; 5621; 5660; 5813; 6141; 6166; 6171; 6230; 6447; 6622; 6659; 6726; 9045; 9789; 10140; 10209; 10273; 10289; 10573; 10654; 10797; 10972; 11332; 51372; 55052; 8562; 9524; 123099; 90701; 25874; 27335	EIF1; NGF; MPC2; TMA7; SPCS2; EEF1A1; SCG5; HSPA8; CPE; SRP9; RPS25; CELF4; RPL36AL; RPL41; EIF5A; EIF1B; POLR2G; EIF3K; TOB1; HAGH; DENR; PRNP; TECR; SOX4; CIRBP; TMED10; MRPL20; NDUFA7; PCSK1; SEC11C; MRPL28; RPL14; CTSZ; IGFBP5; EIF4E; ACOT7; RPL18; DEGS2; PMVK; MTHFD2; RPSA; PPP1CA; ARG1; CALR; GCH1; PSAP; GSTM5; STUB1; PURA; SNCA; ATF4; EEF2; EIF4A2	1064	1059
3.21282194929e-11	2.21684714501e-09	GO:0051641	b	2	cellular localization	403; 537; 665; 781; 805; 811; 975; 1113; 1329; 1363; 1522; 1644; 1977; 1984; 2280; 2664; 3301; 3309; 3312; 3326; 3400; 3799; 3875; 3921; 4131; 4504; 801; 4946; 5300; 5621; 5813; 5862; 5864; 5865; 5870; 5901; 6141; 6171; 6230; 6432; 6447; 6616; 6622; 6634; 6726; 6727; 6844; 6855; 7095; 7307; 7314; 7316; 7320; 7323; 7341; 7345; 7846; 8417; 8766; 8775; 51124; 9045; 9049; 9066; 9168; 9324; 9378; 9528; 9789; 10049; 10124; 10574; 10671; 10814; 10952; 10959; 10971; 10972; 11142; 11168; 11258; 11316; 11337; 51079; 340146; 55081; 122553; 222068; 83658; 51382; 51693; 415116; 54997; 27445; 140735; 140823; 25874; 27020; 29106; 3170	TRAPPC2L; MPC2; HSPA5; DYNLL2; SUMO1; SCG5; HSPA8; SCG3; CPE; SRP9; TMED10; CALM2; CALM1; RAN; ATP6AP1; IER3IP1; GABARAP; HSP90AB1; NAPA; NDUFA13; IFT57; RPL14; CTSZ; CACNA2D1; RPL18; SNAP25; DNAJA1; SNRPD3; KIF5B; PKIG; NRXN1; SYT7; SYP; UBB; UBC; ATP6V1D; HMGN3; RAB6A; SEC62; EIF5A; SRSF7; U2AF1; TUBA1A; CCT7; RAB11A; FOXA2; PCLO; SRP14; DYNLRB1; MAP1B; ROMO1; FKBP1A; DDC; GDI1; TMED2; PSIP1; UBE2B; SNCA; KRT18; PRNP; EIF4E; TMSB10; DCTN3; DCTN6; RPL41; TMED4; SPCS2; CD81; DNAJB6; RPS25; BNIP3L; TMEM59; UBE2D3; UCHL1; RPSA; ID4; STX7; TRAPPC6B; SLC35D3; COX5B; CHGA; ARL3; AIP; RAB2A; PIN1; TESC; NPTN; MT3; YWHAQ; ARL4A; PIM3; COPE; CPLX2; RAB3B; RAB3A; SEC61B; VAMP2; CALR; OAZ1; PURA	2871	2867
4.79847194195e-11	1.52639636851e-08	GO:0042886	b	5	amide transport	291; 526; 529; 533; 537; 665; 811; 1113; 1363; 1977; 1984; 2664; 2987; 3301; 3312; 3382; 3799; 3875; 3921; 4504; 4946; 5621; 5660; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6141; 6171; 6230; 6432; 6447; 6616; 6659; 6726; 6727; 6844; 6992; 7095; 7307; 7314; 7316; 7323; 7494; 7857; 8417; 8766; 8775; 9045; 9049; 9066; 9114; 9296; 9324; 9550; 9789; 10124; 10952; 10959; 10972; 11142; 11316; 11337; 11345; 51079; 340146; 375704; 222068; 51382; 415116; 54997; 155066; 27445; 140823; 25874; 3170	ATP6V1D; ATP6V1F; HMGN3; SPCS2; TMED10; ATP6AP1; SCG5; HSPA8; SCG2; CPE; SRP9; U2AF1; RAB2A; ROMO1; MPC2; SYT7; SEC61B; RPL41; EIF5A; SRSF7; TMED4; TMED2; GABARAPL2; RAN; MT3; PRNP; ICA1; GABARAP; RAB11A; FOXA2; PCLO; SOX4; NAPA; CHGA; ATP6V1B2; XBP1; ENHO; SEC62; ATP6V0B; RPS25; BNIP3L; ATP6V1G1; COPE; RPL14; NDUFA13; SRP14; SLC25A4; RAB6A; SLC35D3; VAMP2; GUK1; RAB3B; RAB3A; EIF4E; PIM3; GDI1; RPL18; ATP6V0D1; UBE2D3; SNAP25; DNAJA1; RPSA; CALR; PKIG; ATP6V1E1; STX7; OAZ1; PPP1R11; PURA; TESC; PSAP; UBB; UBC; AIP; RBP4; ATP6V0E2; ARL4A; KIF5B; KRT18	2037	2033
5.54045868786e-11	1.52639636851e-08	GO:0015833	b	5	peptide transport	291; 526; 529; 533; 537; 665; 811; 1113; 1363; 1977; 1984; 2664; 2987; 3301; 3312; 3382; 3799; 3875; 3921; 4504; 4946; 5621; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6141; 6171; 6230; 6432; 6447; 6616; 6659; 6726; 6727; 6844; 6992; 7095; 7307; 7314; 7316; 7323; 7494; 7857; 8417; 8766; 8775; 9045; 9049; 9066; 9114; 9296; 9324; 9550; 9789; 10124; 10952; 10959; 10972; 11142; 11316; 11337; 11345; 51079; 340146; 375704; 222068; 51382; 415116; 54997; 155066; 27445; 140823; 25874; 3170	ATP6V1D; ATP6V1F; HMGN3; SPCS2; TMED10; ATP6AP1; SCG5; HSPA8; SCG2; CPE; SRP9; U2AF1; RAB2A; ROMO1; MPC2; SYT7; SEC61B; RPL41; EIF5A; SRSF7; TMED4; TMED2; GABARAPL2; RAN; MT3; PRNP; ICA1; GABARAP; RAB11A; FOXA2; PCLO; SOX4; NAPA; CHGA; ATP6V1B2; XBP1; ENHO; SEC62; ATP6V0B; RPS25; BNIP3L; ATP6V1G1; COPE; RPL14; NDUFA13; SRP14; SLC25A4; RAB6A; SLC35D3; VAMP2; GUK1; RAB3B; RAB3A; EIF4E; PIM3; GDI1; RPL18; ATP6V0D1; SNAP25; DNAJA1; RPSA; CALR; PKIG; ATP6V1E1; STX7; OAZ1; PPP1R11; PURA; TESC; UBE2D3; UBB; UBC; AIP; RBP4; ATP6V0E2; ARL4A; KIF5B; KRT18	2004	2000
5.79213884666e-11	1.36887548076e-08	GO:0015031	b	4	protein transport	291; 526; 529; 533; 537; 665; 811; 1113; 1977; 1984; 2664; 2987; 3301; 3312; 3382; 3799; 3875; 3921; 4504; 4946; 5621; 5813; 5862; 5864; 5865; 5870; 5901; 5950; 6141; 6171; 6230; 6432; 6447; 6616; 6659; 6726; 6727; 6844; 6992; 7095; 7307; 7314; 7316; 7323; 7494; 7857; 8417; 8766; 8775; 9045; 9049; 9066; 9114; 9296; 9324; 9550; 9789; 10124; 10952; 10959; 10972; 11142; 11316; 11337; 11345; 51079; 340146; 375704; 222068; 51382; 415116; 54997; 155066; 27445; 140823; 25874; 3170	ATP6V1D; ATP6V1F; HMGN3; SPCS2; TMED10; ATP6AP1; SCG5; HSPA8; SCG2; RAB6A; SRP9; UBE2D3; RAB2A; ROMO1; MPC2; SYT7; SEC61B; RPL41; EIF5A; SRSF7; TMED4; TMED2; GABARAPL2; RAN; MT3; PRNP; ICA1; GABARAP; RAB11A; FOXA2; PCLO; SOX4; NAPA; CHGA; ATP6V1B2; XBP1; ENHO; SEC62; ATP6V0B; RPS25; BNIP3L; ATP6V1G1; COPE; RPL14; NDUFA13; SRP14; SLC25A4; PPP1R11; SLC35D3; VAMP2; GUK1; RAB3B; RAB3A; EIF4E; PIM3; GDI1; RPL18; ATP6V0D1; SNAP25; DNAJA1; RPSA; CALR; PKIG; ATP6V1E1; STX7; OAZ1; U2AF1; PURA; TESC; UBB; UBC; AIP; RBP4; ATP6V0E2; ARL4A; KIF5B; KRT18	1967	1963
7.82439169447e-11	1.38687342784e-08	GO:0006518	b	4	peptide metabolic process	811; 1153; 1363; 1522; 1915; 1938; 1974; 1977; 1984; 468; 2949; 3029; 3312; 56853; 3488; 3921; 4701; 4803; 5122; 5436; 5499; 5621; 5813; 6141; 6166; 6171; 6230; 6447; 6622; 6659; 6726; 9045; 9789; 10140; 10209; 10273; 10289; 10573; 10972; 51372; 55052; 8562; 90701; 27335	EIF1; NGF; TMA7; SPCS2; CIRBP; SCG5; CELF4; CPE; SRP9; RPS25; RPL36AL; RPL41; EIF5A; EIF1B; POLR2G; EIF3K; TOB1; HAGH; DENR; PRNP; SOX4; EEF1A1; TMED10; MRPL20; NDUFA7; HSPA8; MRPL28; PCSK1; CTSZ; IGFBP5; EIF4E; RPL18; RPL14; SEC11C; RPSA; PPP1CA; CALR; GSTM5; STUB1; PURA; SNCA; ATF4; EEF2; EIF4A2	809	805
