Feature Name,1,2,3,4,5
43891,,,1.0,,
43892,1.0,1.0,,,
43893,,,,1.0,
43896,,,,1.0,
43901,,,,1.0,
44075,,,,1.0,
44076,,1.0,,,
44077,,,1.0,,1.0
44078,,,,,1.0
44079,,,,,1.0
44081,1.0,,,,
44082,,,1.0,,
44083,,,1.0,,
44084,1.0,,,,
A1CF,,1.0,,,
A4GALT,1.0,,,,
AAAS,,1.0,1.0,,
AADACL2,,1.0,,,
AADAT,,1.0,,,
AAGAB,,,,,1.0
AAK1,1.0,,,,
AAMP,,1.0,,,
AANAT,,,1.0,,
AARSD1,,1.0,1.0,,
AASS,,1.0,,,
AATF,,,1.0,,
ABCA12,,,,1.0,
ABCA13,,,,1.0,
ABCA5,,,,1.0,
ABCA6,,,,1.0,
ABCB5,,,,,1.0
ABCB7,,,1.0,,
ABCB8,1.0,,,,
ABCB9,,1.0,,,
ABCC1,1.0,,,,
ABCC10,1.0,,,,
ABCC3,1.0,,,,
ABCC4,,1.0,1.0,,
ABCC9,,,1.0,,
ABCD1,1.0,,,1.0,
ABCD2,1.0,,1.0,,
ABCD3,,1.0,,,
ABCE1,,1.0,,,
ABCF2,1.0,,,,
ABCF3,1.0,,,,
ABCG1,,,,1.0,
ABHD1,,,1.0,,
ABHD14B,1.0,1.0,,,
ABHD15,1.0,,1.0,,
ABHD17B,,,,,1.0
ABHD17C,,,,1.0,
ABHD6,,,1.0,,
ABI3,1.0,,,,
ABL2,1.0,,1.0,,
ABLIM2,,,,1.0,1.0
ABLIM3,,,1.0,,
ABTB2,,,,1.0,
ACAA1,1.0,1.0,,,
ACACA,,1.0,1.0,,
ACACB,1.0,,,,
ACAD10,,,,1.0,
ACAD11,1.0,,,,
ACADM,,,,1.0,
ACADSB,,1.0,,,
ACADVL,1.0,,,,
ACAN,,,1.0,,
ACAP1,1.0,,,,
ACAP2,,,,,1.0
ACAP3,,,1.0,,
ACAT1,,1.0,1.0,,
ACAT2,,,,,1.0
ACBD4,,1.0,,,
ACBD5,1.0,,1.0,,
ACBD6,,1.0,,,
ACBD7,,,,,1.0
ACCS,1.0,,,,
ACD,,,1.0,,
ACE,,,,1.0,
ACHE,1.0,,,,
ACIN1,1.0,,1.0,,
ACKR3,,,,1.0,
ACLY,,,1.0,,
ACO1,,1.0,,,
ACOT1,,,1.0,,
ACOT11,,,,1.0,
ACOT2,,,1.0,,
ACOT7,1.0,,1.0,,
ACOT9,1.0,1.0,,,
ACOX3,1.0,,,,
ACP2,1.0,,,,
ACP5,,,,1.0,
ACP6,,1.0,,,
ACPP,,,,1.0,
ACSBG1,,1.0,,,
ACSF2,1.0,,,,
ACSF3,,,,1.0,
ACSL1,,,,1.0,
ACSL3,,1.0,,,
ACSM1,,,,1.0,
ACSM5,,,,1.0,
ACSS1,,1.0,,1.0,
ACSS2,1.0,,,,
ACTA2,1.0,,,,
ACTB,1.0,,,,
ACTC1,,,1.0,,
ACTL10,,,,1.0,
ACTL6A,,,,,1.0
ACTL6B,,,,,1.0
ACTL7B,,,1.0,,
ACTL8,,1.0,1.0,,
ACTN1,1.0,1.0,,,
ACTR2,1.0,,,,
ACTR3,1.0,,,,
ACTR3B,,,1.0,,
ACTR3C,,,,1.0,
ACTRT3,1.0,,,,
ACVR1,1.0,,,1.0,
ACY1,1.0,1.0,,,
ACY3,,1.0,,,
ACYP1,,,,,1.0
ACYP2,,,,1.0,
ADA,1.0,1.0,,,
ADAL,,,1.0,,1.0
ADAM10,1.0,,,,
ADAM11,,,1.0,,
ADAM15,1.0,1.0,,1.0,
ADAM17,1.0,,,,
ADAM19,,,1.0,,
ADAM28,,,,1.0,
ADAM8,1.0,,,,
ADAM9,1.0,1.0,,,
ADAMTS1,1.0,1.0,1.0,,
ADAMTS10,1.0,,,,
ADAMTS16,,,,,1.0
ADAMTS18,,,,1.0,
ADAMTS2,,,1.0,,
ADAMTS20,,,1.0,,
ADAMTS3,,1.0,,,
ADAMTS4,,,1.0,,
ADAMTS5,,,1.0,,
ADAMTS6,1.0,,,,
ADAMTS8,,,1.0,,
ADAMTSL2,,,,1.0,1.0
