Feature Name,1,2,3,4,5
GO 2 OXOGLUTARATE METABOLIC PROCESS,0,0,0,0,0
GO 3 PHOSPHOADENOSINE 5 PHOSPHOSULFATE METABOLIC PROCESS,1,0,0,0,0
GO 3 UTR MEDIATED MRNA DESTABILIZATION,1,0,0,0,0
GO 3 UTR MEDIATED MRNA STABILIZATION,0,0,0,0,0
GO ACETYL COA BIOSYNTHETIC PROCESS,0,0,0,0,0
GO ACETYL COA BIOSYNTHETIC PROCESS FROM PYRUVATE,0,0,0,0,0
GO ACETYL COA METABOLIC PROCESS,0,0,0,0,0
GO ACID SECRETION,0,0,0,1,0
GO ACIDIC AMINO ACID TRANSPORT,0,0,0,0,0
GO ACROSOME ASSEMBLY,0,0,0,0,0
GO ACROSOME REACTION,0,0,0,0,0
GO ACTIN CROSSLINK FORMATION,0,0,0,0,0
GO ACTIN CYTOSKELETON REORGANIZATION,1,0,0,0,0
GO ACTIN FILAMENT BASED MOVEMENT,0,0,0,0,0
GO ACTIN FILAMENT BASED PROCESS,0,0,0,0,0
GO ACTIN FILAMENT BASED TRANSPORT,0,0,0,0,0
GO ACTIN FILAMENT BUNDLE ORGANIZATION,0,0,0,0,0
GO ACTIN FILAMENT DEPOLYMERIZATION,0,1,0,0,0
GO ACTIN FILAMENT NETWORK FORMATION,0,0,0,0,0
GO ACTIN FILAMENT ORGANIZATION,0,0,0,0,0
GO ACTIN FILAMENT SEVERING,0,1,0,0,0
GO ACTIN MEDIATED CELL CONTRACTION,0,0,0,0,0
GO ACTIN NUCLEATION,0,1,0,1,0
GO ACTIN POLYMERIZATION OR DEPOLYMERIZATION,0,1,0,0,0
GO ACTION POTENTIAL,0,0,0,1,0
GO ACTIVATED T CELL PROLIFERATION,0,0,0,1,0
GO ACTIVATION OF ADENYLATE CYCLASE ACTIVITY,0,0,0,1,0
GO ACTIVATION OF CYSTEINE TYPE ENDOPEPTIDASE ACTIVITY,0,0,0,1,0
GO ACTIVATION OF CYSTEINE TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,0,0,0,1,0
GO ACTIVATION OF GTPASE ACTIVITY,0,0,0,0,0
GO ACTIVATION OF IMMUNE RESPONSE,1,0,0,0,0
GO ACTIVATION OF INNATE IMMUNE RESPONSE,1,0,0,0,0
GO ACTIVATION OF JANUS KINASE ACTIVITY,0,0,0,1,0
GO ACTIVATION OF JNKK ACTIVITY,0,0,0,0,0
GO ACTIVATION OF JUN KINASE ACTIVITY,0,0,0,0,0
GO ACTIVATION OF MAPK ACTIVITY,1,0,0,0,0
GO ACTIVATION OF MAPKK ACTIVITY,0,0,0,0,0
GO ACTIVATION OF MAPKKK ACTIVITY,0,0,0,0,0
GO ACTIVATION OF NF KAPPAB INDUCING KINASE ACTIVITY,0,0,0,0,0
GO ACTIVATION OF PHOSPHOLIPASE C ACTIVITY,1,0,0,0,0
GO ACTIVATION OF PROTEIN KINASE A ACTIVITY,0,0,0,0,0
GO ACTIVATION OF PROTEIN KINASE ACTIVITY,0,0,0,0,0
GO ACTIVATION OF PROTEIN KINASE B ACTIVITY,0,0,0,0,0
