archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO MEMBRANE RAFT ASSEMBLY,8.4434e-05,2.5924,2.2935,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN,0.00069995,1.8651,1.6162,1,1
1,GO BLEB ASSEMBLY,0.0001525,1.8095,1.652,1,1
1,GO RESPONSE TO INTERFERON ALPHA,0.00014528,1.6755,1.4831,1,1
1,GO POSITIVE REGULATION BY SYMBIONT OF ENTRY INTO HOST,0.00032527,1.5745,1.2828,1,1
1,GO HYALURONAN CATABOLIC PROCESS,5.3491e-05,1.5397,1.3309,1,1
1,GO NEGATIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,0.0017084,1.5211,1.3279,1,1
1,GO RESPONSE TO INTERFERON BETA,0.00017625,1.4894,1.2687,1,1
1,GO REGULATION OF TAU PROTEIN KINASE ACTIVITY,0.00023453,1.4881,1.4512,1,1
1,GO REGULATION OF PLASMINOGEN ACTIVATION,0.00040918,1.4655,1.261,1,1
1,GO MODULATION BY SYMBIONT OF ENTRY INTO HOST,5.9259e-05,1.4517,1.279,1,1
1,GO NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL,8.0303e-05,1.4498,1.377,1,1
1,GO ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN,0.0012773,1.4343,1.2324,1,1
1,GO REGULATION OF VIRAL ENTRY INTO HOST CELL,8.4434e-05,1.4262,1.2207,1,1
1,GO MEMBRANE RAFT ORGANIZATION,6.2359e-05,1.4236,1.3724,1,1
1,GO EXTRACELLULAR MATRIX CONSTITUENT SECRETION,0.0055117,1.3957,0.88721,1,1
1,GO T HELPER 2 CELL DIFFERENTIATION,5.3491e-05,1.3784,1.3531,1,1
1,GO NEUTROPHIL HOMEOSTASIS,4.5827e-05,1.3422,1.3629,1,1
1,GO NEGATIVE REGULATION OF PROTEIN AUTOPHOSPHORYLATION,4.5827e-05,1.3275,1.3414,1,1
1,GO MULTI ORGANISM CELLULAR PROCESS,6.5613e-05,1.32,1.2086,1,1
1,GO FIBRINOLYSIS,0.00010305,1.3132,1.1685,1,1
1,GO EPIBOLY,0.0002237,1.2934,0.96696,1,1
1,GO REGULATION OF T HELPER 2 CELL DIFFERENTIATION,5.0811e-05,1.2854,1.3777,1,1
1,GO TROPHOBLAST CELL MIGRATION,0.00010828,1.2792,1.1271,1,1
1,GO PYRIMIDINE RIBONUCLEOSIDE METABOLIC PROCESS,8.0303e-05,1.2685,1.1258,1,1
1,GO WOUND HEALING SPREADING OF EPIDERMAL CELLS,0.00011376,1.2401,1.0649,1,1
1,GO POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,5.0811e-05,1.2126,1.2126,1,1
