,Activating Invasion and Metastasis,Enabling Replicative Immortality,Evading Growth Suppressors,Evading Immune Destruction,Genome Instability and Mutation,Inducing Angiogenesis,Reprogramming Energy Metabolism,Resisting Cell Death,Sustaining Proliferative Signaling,Tumor-Promoting Inflammation
c.COLO668,2.816596505,2.803045029,2.999301124,2.550212601,3.40099107,2.327552482,4.002020386,3.113105599,2.88599203,2.871126256
c.CORL24,3.113755596,3.125881092,3.372270883,2.332579053,3.247049481,2.489247935,4.069540151,3.07238183,3.149564493,2.850910297
c.CORL279,3.013220783,3.016233127,3.222121896,2.357655112,3.366684308,2.374578159,4.172441113,3.194103425,3.103624054,2.813946513
c.CORL311,2.682574751,2.721228357,2.976568846,2.223797884,3.201470522,2.059658855,4.029873133,2.89501011,2.793553151,2.60650106
c.CORL47,2.750170973,2.955743268,3.123135015,2.165257191,3.300441966,2.100191605,3.915718198,2.973801577,2.849060414,2.606677998
c.CORL88,2.651630069,2.875770434,3.025856721,2.203820974,3.24849214,2.157006977,3.878822578,2.928398071,2.787870082,2.608913662
c.CORL95,2.961525152,3.109142868,3.238482224,2.572959814,3.294389257,2.416678079,4.185912168,3.240071605,3.010138595,2.974975669
c.DMS114,2.820538836,3.220898273,3.142891559,2.168039697,3.416676292,2.313190037,4.047754989,3.112838023,2.959773814,2.655381816
c.DMS153,2.986210317,3.046505981,3.20452486,2.514962685,3.514642459,2.461833111,4.065873839,3.214854199,3.048016929,2.957443173
c.DMS273,2.786595066,2.987020668,3.051204693,2.198542937,3.357088287,2.240153881,4.045137789,3.060254815,2.91133912,2.593969214
c.DMS454,2.769626408,2.858384888,2.964990578,2.60451428,3.474833159,2.30650619,4.162815973,3.173315504,2.910807471,2.815784706
c.DMS53,3.036225808,3.082711143,3.158256391,2.558031994,3.654120507,2.485061031,4.254961482,3.332198714,3.05477902,3.068351743
c.DMS79,3.017458576,2.930672048,3.367534559,2.364750149,3.549198552,2.405531244,4.034546351,3.157078356,3.076178385,2.891715287
c.HCC33,2.653457384,2.94122587,3.03841515,1.963445655,3.108377474,1.998048755,3.873062808,2.797544915,2.753471491,2.42350293
c.NCIH1048,2.957852181,3.118655975,3.314717331,2.284110484,3.54101272,2.457208818,4.086476008,3.214165148,3.069233658,2.726364884
c.NCIH1092,2.718003391,2.834288506,2.976389583,2.052197368,3.166037318,2.037722064,3.845240028,2.832609114,2.789605706,2.469113491
c.NCIH1105,2.688052936,2.815864142,3.047678585,2.101163182,3.300803702,2.041789818,3.86944451,2.868833949,2.828951169,2.493901902
