archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
SCLC-A,GO FOREBRAIN NEURON FATE COMMITMENT,0.0047478,0.66148,0.77767,1,1
SCLC-A,GO REGULATION OF LONG TERM SYNAPTIC DEPRESSION,0.0047478,0.58625,0.5594,1,1
SCLC-A,GO NEGATIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL,0.0040811,0.56898,0.52536,1,1
SCLC-A,GO CARDIAC CELL FATE COMMITMENT,0.0049293,0.53356,0.49408,1,1
SCLC-A,GO CEREBELLAR GRANULAR LAYER DEVELOPMENT,0.0061556,0.60869,0.48932,1,1
SCLC-A,GO ENDOSOME TO PLASMA MEMBRANE PROTEIN TRANSPORT,0.0040811,0.28492,0.44274,1,1
SCLC-A,GO PHOTORECEPTOR CELL OUTER SEGMENT ORGANIZATION,0.016296,0.40065,0.38297,1,1
SCLC-A,GO THALAMUS DEVELOPMENT,0.0085133,0.38434,0.36351,1,1
SCLC-A,GO NEGATIVE REGULATION OF INTRACELLULAR ESTROGEN RECEPTOR SIGNALING PATHWAY,0.0079288,0.3149,0.35859,1,1
SCLC-A,GO POST EMBRYONIC ANIMAL MORPHOGENESIS,0.0129,0.33486,0.30783,1,1
SCLC-A,GO PROTEIN AUTO ADP RIBOSYLATION,0.016296,0.25353,0.30228,1,1
SCLC-A,GO POSITIVE REGULATION OF CILIUM ASSEMBLY,0.0017084,0.28876,0.29764,1,1
SCLC-A,GO POSITIVE REGULATION OF OLIGODENDROCYTE DIFFERENTIATION,0.0174,0.27076,0.29742,1,1
SCLC-A,GO GANGLIOSIDE BIOSYNTHETIC PROCESS,0.01918,0.37654,0.29377,1,1
SCLC-A,GO REGULATION OF GENE EXPRESSION BY GENETIC IMPRINTING,0.0059338,0.34899,0.28983,1,1
SCLC-A,GO HISTONE H4 K16 ACETYLATION,0.00031055,0.26026,0.28122,1,1
SCLC-A,GO GENETIC IMPRINTING,0.0036381,0.32295,0.2749,1,1
SCLC-A,GO DENDRITIC TRANSPORT,0.01684,0.227,0.25568,1,1
SCLC-A,GO NEGATIVE REGULATION OF TRANSCRIPTION REGULATORY REGION DNA BINDING,0.0174,0.24344,0.2536,1,1
SCLC-A,GO MITOTIC SISTER CHROMATID COHESION,0.0035004,0.23121,0.24897,1,1
SCLC-A,GO HISTONE H4 K5 ACETYLATION,0.0026621,0.2377,0.24774,1,1
SCLC-A,GO NEGATIVE REGULATION OF MACROPHAGE ACTIVATION,0.021117,0.24255,0.2468,1,1
SCLC-A,GO PROTEIN TRANSPORT ALONG MICROTUBULE,0.0063849,0.2102,0.23369,1,1
SCLC-A,GO NEGATIVE REGULATION OF NEURAL PRECURSOR CELL PROLIFERATION,0.012053,0.26709,0.23307,1,1
SCLC-A,GO NEGATIVE REGULATION OF CILIUM ASSEMBLY,0.010146,0.18261,0.22956,1,1
SCLC-A,GO HISTONE H2A MONOUBIQUITINATION,0.0033675,0.19983,0.22291,1,1
SCLC-A,GO POSITIVE REGULATION OF HISTONE H3 K4 METHYLATION,0.028854,0.20767,0.20854,1,1
SCLC-A,GO ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,0.0020112,0.20227,0.20738,1,1
SCLC-A,GO KINETOCHORE ORGANIZATION,0.023963,0.29084,0.19735,1,1
SCLC-A,GO MITOTIC CHROMOSOME CONDENSATION,0.0085133,0.20836,0.19669,1,1
SCLC-A,GO HISTONE H3 K4 METHYLATION,0.0036381,0.1824,0.19464,1,1
SCLC-A,GO NEGATIVE REGULATION OF DOUBLE STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,0.010874,0.1915,0.193,1,1
SCLC-A,GO HISTONE H3 K36 METHYLATION,0.024724,0.16169,0.1889,1,1
SCLC-A,GO REGULATION OF HISTONE H3 K9 ACETYLATION,0.020453,0.22064,0.18698,1,1
SCLC-A,GO PROTEIN LOCALIZATION TO MICROTUBULE ORGANIZING CENTER,0.0026621,0.15645,0.18686,1,1
SCLC-A,GO G0 TO G1 TRANSITION,0.0032392,0.16527,0.18513,1,1
SCLC-A,GO PHOTORECEPTOR CELL DIFFERENTIATION,0.023222,0.164,0.1839,1,1
SCLC-A,GO REGULATION OF DOUBLE STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING,0.029747,0.26767,0.1833,1,1
SCLC-A,GO HISTONE H4 ACETYLATION,0.00040918,0.15932,0.17455,1,1
SCLC-A,GO REGULATION OF HISTONE H3 K4 METHYLATION,0.01427,0.13611,0.17167,1,1
SCLC-A,GO TELOMERE MAINTENANCE IN RESPONSE TO DNA DAMAGE,0.0055117,0.13653,0.1699,1,1
SCLC-A,GO CENTROMERE COMPLEX ASSEMBLY,0.022501,0.18205,0.16848,1,1
SCLC-A,GO CILIARY BASAL BODY PLASMA MEMBRANE DOCKING,0.0021804,0.13292,0.16846,1,1
SCLC-A,GO REGULATION OF CILIUM ASSEMBLY,0.0071194,0.16809,0.16127,1,1
SCLC-A,GO HISTONE H2A UBIQUITINATION,0.011255,0.15917,0.16053,1,1
SCLC-A,GO POSITIVE REGULATION OF PROTEIN ACETYLATION,0.0020943,0.13625,0.15543,1,1
SCLC-A,GO MAINTENANCE OF ORGANELLE LOCATION,0.0082164,0.1803,0.1502,1,1
SCLC-A,GO POSITIVE REGULATION OF DENDRITE DEVELOPMENT,0.027136,0.14622,0.14151,1,1
SCLC-A,GO DOSAGE COMPENSATION,0.0138,0.15376,0.13797,1,1
SCLC-A,GO PEPTIDYL LYSINE ACETYLATION,0.00031055,0.12779,0.1371,1,1
SCLC-A,GO HISTONE H3 K9 ACETYLATION,0.023222,0.16932,0.13421,1,1
SCLC-A,GO PEPTIDYL LYSINE METHYLATION,0.012053,0.10516,0.12217,1,1
SCLC-A,GO MRNA CIS SPLICING VIA SPLICEOSOME,0.011648,0.12608,0.12113,1,1
SCLC-A,GO HISTONE MONOUBIQUITINATION,0.012053,0.10283,0.12071,1,1
SCLC-A,GO REGULATION OF PROTEIN ACETYLATION,0.010874,0.1427,0.1194,1,1
SCLC-A,GO NUCLEOSOME ORGANIZATION,0.01684,0.11011,0.11876,1,1
SCLC-A,GO REGULATION OF DOUBLE STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,0.01427,0.12246,0.11794,1,1
SCLC-A,GO ERROR PRONE TRANSLESION SYNTHESIS,0.029747,0.11441,0.11789,1,1
SCLC-A,GO NEGATIVE REGULATION OF EXECUTION PHASE OF APOPTOSIS,0.028854,0.13942,0.11657,1,1
SCLC-A,GO CHROMATIN ASSEMBLY OR DISASSEMBLY,0.01427,0.089114,0.11649,1,1
