,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MITOTIC_SPINDLE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_DNA_REPAIR,HALLMARK_G2M_CHECKPOINT,HALLMARK_APOPTOSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MYOGENESIS,HALLMARK_PROTEIN_SECRETION,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_COMPLEMENT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_P53_PATHWAY,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_ANGIOGENESIS,HALLMARK_HEME_METABOLISM,HALLMARK_COAGULATION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PEROXISOME,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_SPERMATOGENESIS,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_PANCREAS_BETA_CELLS
c.COLO668,2.934432406,3.645311704,5.017616911,4.51149342,3.336806574,3.888540253,2.190797806,5.179709827,5.439689106,3.808790269,3.09900066,4.590718741,3.470931555,3.66463013,4.497308146,2.529545264,5.351422685,3.453111204,3.129267926,2.930521814,2.112608277,3.065063283,2.925127923,5.523419633,4.747305002,5.775852963,5.849125137,7.263374785,5.243833348,1.913902953,1.775731414,3.237929489,4.721527396,6.128817278,4.297333805,4.834286173,3.988599962,4.267819767,3.127876043,2.374045072,3.846141071,2.293802447,2.923726102,3.124710874,4.370262621,2.403852235,2.889349512,2.536195923,1.415136768,3.390659851
c.CORL24,2.500773567,3.933067392,4.673492164,4.732705649,3.615167707,4.096002513,2.088616596,5.05634245,5.453408229,3.730007751,3.564401249,4.331191576,3.298321155,3.422737669,4.20245241,2.972094082,5.11678737,2.535587114,2.49363039,3.466025929,2.87779202,3.829900904,2.816154285,5.390956379,4.554737294,5.525438275,5.8279696,6.977434027,4.862915371,2.798028267,1.848903147,3.011305386,4.072364519,5.651106969,4.289260271,4.681142978,3.756218914,4.365999176,3.600040462,2.232413142,3.952497037,2.152715638,2.983831513,3.143986077,4.239783581,2.261329971,3.526774521,2.219085141,2.093773644,3.209945851
c.CORL279,2.70229583,4.003144297,4.86221598,4.787435514,3.589288491,3.987987355,2.151787862,5.051926529,5.469974964,3.807438579,3.07137377,4.613266055,3.420090009,3.486323985,4.435153529,2.959326547,5.205799477,2.759997368,2.554998966,3.505773655,2.536687734,3.840467808,2.951974332,5.529955124,4.629625813,5.799801279,5.943145955,7.22459442,5.533463731,2.701812148,1.861641664,3.136369588,4.462610102,5.968239857,4.478499033,5.166013132,3.867341199,4.247219395,3.453599082,2.616906925,4.031094781,2.072578771,3.215276144,3.038010958,4.337244084,2.36912173,3.333499932,2.350104919,1.68886512,4.317217334
c.CORL311,2.286375191,3.404848998,4.611722508,4.721953572,3.565338512,3.665893461,1.97136587,5.287006674,5.600015897,3.493346457,3.139716507,4.364807602,3.184060817,3.249879737,4.066325719,2.463648192,4.959002924,2.414815494,2.300974198,3.068016117,2.083958678,2.858498077,2.59115469,5.462415169,4.505612935,5.583883167,5.97152405,7.383544472,5.708773604,1.715947594,1.492436944,2.893451161,4.150312387,5.996743569,4.148216343,4.988852008,3.530364278,3.997351876,2.894403161,1.697361286,3.818619844,1.827196675,2.696425578,2.907667609,4.230881066,2.250420299,2.911316903,1.934470914,1.268208764,2.220893309
c.CORL47,2.643213032,3.814696838,4.75575377,4.415624645,3.140210935,3.929491585,1.843415798,5.299167739,5.509421777,3.643575752,2.625110856,4.330038484,3.083842351,3.272615545,4.114004126,2.635705524,4.856466842,2.831386964,2.617624706,3.164606006,2.010700961,3.319266786,2.573540109,5.611318727,4.715719864,5.814982135,6.028307372,7.32326395,5.159946361,2.126221115,1.489888405,3.001420226,4.166780657,6.001456483,4.311702811,4.975541724,3.851993009,4.290469021,3.076259412,2.240852006,3.725347019,1.775172924,2.666720842,2.94204124,4.209294124,2.21851763,2.93640193,2.192025095,1.580817574,3.713519176
c.CORL88,2.378735731,3.362088464,4.480353447,4.725045521,3.177806976,3.730678282,1.837088819,5.20304365,5.706635224,3.531163184,2.930623933,4.220154128,2.98776275,3.330195961,4.23401179,2.255625288,5.270348399,2.4500656,2.317819268,2.835341541,2.011140051,2.473852523,2.559151486,5.279264047,4.539990254,5.526872548,6.152073383,7.203619082,5.142528027,1.83525739,1.523455719,3.047532201,4.247068396,5.916811413,3.906491585,4.776462657,3.52575676,4.02508806,3.072770582,1.879705986,3.693319313,1.889622639,2.607430416,2.891669784,4.109406573,2.109100386,3.137084671,2.055274813,1.433670109,3.058564435
c.CORL95,3.375569902,4.270489743,5.082768028,4.602731815,3.596108752,4.251915245,2.441851084,5.243993005,5.580618887,4.10530371,3.419562841,4.610408671,3.658566059,3.82147096,4.756489899,2.809373114,5.098466536,3.522584573,3.140502097,3.330630081,2.260186233,3.472843686,3.060220061,5.582475795,4.905366889,5.870584535,5.955602466,6.970011338,5.107399438,2.499850702,1.97778354,3.221501691,4.429877729,6.094641211,4.446655316,5.209276368,4.355935043,4.549429287,3.404063678,2.704954869,4.018898502,2.273909801,3.313147208,2.938996841,4.185382512,2.508668738,3.181695362,2.774761801,1.57562336,3.447707782
c.DMS114,2.549924612,3.434102397,4.677005133,4.635096157,3.75007322,4.176000315,2.347545552,5.278333084,5.5916288,3.899583418,3.70920569,4.577049796,2.712575043,3.005874767,4.216494714,2.706417396,5.20918841,2.764454865,2.69272168,3.364980906,2.618725972,2.735185341,2.840753896,5.948457868,4.499166301,5.487519111,5.928600392,7.464451157,5.678936008,3.118388977,1.704805117,3.249540853,4.342015933,6.349646795,4.298682509,4.740300837,3.605647172,4.350641386,3.245293551,3.107163192,3.832079967,2.464387571,2.923463193,2.839017774,4.199062036,2.296936854,3.055391493,1.926590757,1.427764187,2.369375979
c.DMS153,2.848600131,3.828424692,4.723632178,4.863532702,3.683517443,4.20131685,2.14125294,5.151759806,5.797909322,4.069884744,3.477894442,4.490187489,3.436836323,3.736549961,4.604393882,2.66700723,5.5923592,3.370909877,3.117666658,3.299907441,2.413704865,3.733179408,2.958949784,5.496053676,5.006209333,5.776550494,6.156839806,7.081338424,4.976041514,2.344441284,1.888720923,3.326341238,4.443470768,5.929922663,4.395307082,5.085199424,4.068971506,4.238810839,3.548767964,2.307836064,4.000306937,2.052240696,3.070917457,2.962621813,4.187130931,2.404819498,3.4284211,2.75065922,1.60470514,3.892710328
c.DMS273,2.549081236,3.668271931,4.593358237,4.386067214,3.736605782,3.920304337,2.09337632,5.215225652,5.453406542,3.79088645,3.581152868,4.737814475,3.108984235,3.153082878,4.169828198,2.77216694,5.08431435,3.086701054,2.704771914,3.147832837,2.361626555,3.042644091,2.719518779,5.733375603,4.54497193,5.920164304,5.956558685,7.912227667,6.479282549,2.74316493,1.738032183,3.107980772,4.452314651,6.428716889,4.379639461,5.451484501,3.849218375,4.43186114,3.349015022,2.555659088,3.812959991,2.166407164,2.785796534,2.791676198,4.2528241,2.40940039,2.700526717,1.965079347,1.419449442,2.423205369
