,0
XKR4,0.0
GM1992,0.0
GM37381,0.0
RP1,0.0
SOX17,0.0
GM37323,0.0
MRPL15,0.28114584
LYPLA1,0.23791666
GM37988,0.0
TCEA1,0.25281253
RGS20,0.0
GM16041,0.0
ATP6V1H,0.2865625
OPRK1,0.0
NPBWR1,0.0
RB1CC1,0.18760417
4732440D04RIK,0.006458333
FAM150A,0.0
ST18,0.22677083
PCMTD1,0.11239583
GM26901,0.0147916665
GM30414,0.0
SNTG1,0.0
RRS1,0.20135415
ADHFE1,0.0
3110035E14RIK,0.0
GM29520,0.0
MYBL1,0.015520833
VCPIP1,0.053958327
1700034P13RIK,0.0
SGK3,0.07135416
MCMDC2,0.0
SNHG6,0.18041666
TCF24,0.005520833
PPP1R42,0.0
GM15818,0.0
COPS5,0.57989585
CSPP1,0.19479167
ARFGEF1,0.23677082
CPA6,0.0
PREX2,0.0
A830018L16RIK,0.0
GM17644,0.0
GM29663,0.0
SULF1,0.0
SLCO5A1,0.0
GM29283,0.0
PRDM14,0.0
NCOA2,0.08708334
GM29570,0.0
TRAM1,0.755625
LACTB2,0.067187496
XKR9,0.0
EYA1,0.20635419
GM9947,0.0
MSC,0.0
TRPA1,0.0
KCNB2,0.19791667
TERF1,0.14677083
SBSPON,0.0
4930444P10RIK,0.0
RPL7,1.0473958
RDH10,0.15697916
GM28095,0.0
STAU2,0.28083333
GM7568,0.0
UBE2W,0.47364578
TCEB1,1.2030208
D030040B21RIK,0.0
TMEM70,0.42718747
LY96,0.005625
GM28376,0.0
JPH1,0.039791666
GM28783,0.0
GDAP1,0.06333333
GM28784,0.0
PI15,0.0
GM28154,0.0
GM16070,0.0
CRISPLD1,0.0
GM28153,0.0
CRISP4,0.0
DEFB18,0.0
DEFB41,0.0
GM29006,0.0
GM15825,0.0
TFAP2D,0.0
TFAP2B,0.0
GM28340,0.0
PKHD1,0.0
4930486I03RIK,0.0
GM28653,0.0
IL17A,0.0
IL17F,0.0
MCM3,0.0
GM28065,0.0
6720483E21RIK,0.0
PAQR8,0.0
EFHC1,0.006458333
TRAM2,0.0
GM28287,0.0
TMEM14A,0.38052082
GSTA3,1.4825001
GM28836,0.0
KHDC1A,0.0
KHDC1C,0.0
KHDC1B,0.0
KCNQ5,0.0
GM26580,0.0
RIMS1,0.0
4933415F23RIK,0.0
GM27028,0.0
GM29107,0.087812506
OGFRL1,0.5715626
GM28822,0.0
B3GAT2,0.3289583
SMAP1,0.38114583
SDHAF4,0.49729165
FAM135A,0.13687499
COL9A1,0.0
COL19A1,0.0
LMBRD1,0.24427086
GM28237,0.0
GM29414,0.0
ADGRB3,0.07354166
4931408C20RIK,0.0
GM5524,0.0
GM597,0.0
GM9898,0.0
PHF3,0.15739582
PTP4A1,0.07989584
GM29669,0.0
GM28644,0.0
4931428L18RIK,0.020208335
GM29128,0.0
LGSN,0.0
PIH1D3,0.0
KHDRBS2,0.026979165
