,cluster,cline,drug,Emax_normalized,AAr,IC50,logEC50,Emax
0,[1],COLO668, 1st Precursur Intermediate to TDP 665759,84.46712728,0.039891247,,-5.229147988,85.54974473
1,[1],CORL88, 1st Precursur Intermediate to TDP 665759,79.44604535,0.094889843,,-5.181774106,78.05440318
2,[3],CORL47, 1st Precursur Intermediate to TDP 665759,97.09582885,0.025147694,,-5.863279433,97.54447799
3,[4],DMS114, 1st Precursur Intermediate to TDP 665759,75.31006044,0.01688428,,-4.978810701,74.65869827
4,[2],DMS273, 1st Precursur Intermediate to TDP 665759,95.77338104,0.195073023,,-6.463441557,98.89162987
5,[1],DMS53, 1st Precursur Intermediate to TDP 665759,58.87002511,0.105878566,,-5.174573882,58.78725799
6,[3],DMS79, 1st Precursur Intermediate to TDP 665759,96.91840066,0.143220813,,-7.35261703,97.73639274
7,[4],NCIH1048, 1st Precursur Intermediate to TDP 665759,69.3615529,0.046013862,,-4.93930216,67.64067144
8,[3],NCIH1092, 1st Precursur Intermediate to TDP 665759,92.06602253,0.31101822,,-8.079876674,93.53608905
9,[3],NCIH1105, 1st Precursur Intermediate to TDP 665759,82.57527869,0.02755833,,-5.097997109,81.25522232
10,[4],NCIH1341, 1st Precursur Intermediate to TDP 665759,-133.1331174,0.143530968,8.20E-06,-4.879426069,-130.4337275
11,[3],NCIH1436, 1st Precursur Intermediate to TDP 665759,94.76078683,0.018350693,,-5.342944147,95.90801701
12,[3],NCIH146, 1st Precursur Intermediate to TDP 665759,102.3035946,0,,-8.053547735,108.7048608
13,[3],NCIH1618, 1st Precursur Intermediate to TDP 665759,94.61929041,0.27052795,,-6.970616222,99.41506214
14,[2],NCIH1694, 1st Precursur Intermediate to TDP 665759,111.624109,0,,0.245267184,107.7806037
15,[3],NCIH1836, 1st Precursur Intermediate to TDP 665759,89.31409118,0.04139194,,-5.345823458,92.03289759
16,[3],NCIH1876, 1st Precursur Intermediate to TDP 665759,-99.25701214,0.023641922,9.72E-05,-3.567335303,-102.8880934
17,[3],NCIH1930, 1st Precursur Intermediate to TDP 665759,90.69597387,0.416959512,,-7.518557371,97.82039838
18,[4],NCIH196, 1st Precursur Intermediate to TDP 665759,85.82111966,0.053068034,,-5.274905479,85.86070053
19,[3],NCIH1963, 1st Precursur Intermediate to TDP 665759,-263.396093,0.034795798,1.06E-05,-4.818156412,-276.5174865
20,[1],NCIH2029, 1st Precursur Intermediate to TDP 665759,82.95918501,0.05994674,,-5.350665141,82.79263194
21,[4],NCIH2066, 1st Precursur Intermediate to TDP 665759,96.85251418,0.021212955,,-5.673664139,96.32093147
22,[3],NCIH2081, 1st Precursur Intermediate to TDP 665759,89.78176409,0.051189847,,-5.500312917,90.06980643
23,[3],NCIH209, 1st Precursur Intermediate to TDP 665759,138.7415103,0,,-9.723538196,115.4077788
24,[4],NCIH211, 1st Precursur Intermediate to TDP 665759,50.65513516,0.10216046,,-5.102922997,52.98722474
25,,NCIH2141, 1st Precursur Intermediate to TDP 665759,40.31315562,0.029343297,4.44E-05,-4.705533774,41.55488845
26,[2],NCIH2171, 1st Precursur Intermediate to TDP 665759,56.6000298,0.100828777,,-5.08249449,56.97569099
27,[2],NCIH446, 1st Precursur Intermediate to TDP 665759,78.49939671,0.118014944,,-5.527243551,80.6633059
28,[1],NCIH510, 1st Precursur Intermediate to TDP 665759,89.31409118,0.04139194,,-5.345823458,92.03289759
29,[2],NCIH524, 1st Precursur Intermediate to TDP 665759,75.47448136,0.95411632,,-6.515700161,89.2527121
30,[2],NCIH526, 1st Precursur Intermediate to TDP 665759,86.41294035,0.540185638,,-6.341035157,91.33079765
31,[3],NCIH69, 1st Precursur Intermediate to TDP 665759,92.88649915,0.03515222,,-5.484126156,98.16070056
32,,NCIH69/CPR, 1st Precursur Intermediate to TDP 665759,78.1095434,0.032811992,,-5.106793247,80.44276263
33,,NCIH69/LX10, 1st Precursur Intermediate to TDP 665759,43.15261542,0.531683959,4.08E-06,-5.928117993,41.88987026
34,,NCIH69VCR/R, 1st Precursur Intermediate to TDP 665759,60.85370106,0.371770921,,-5.946921557,60.16376008
35,[2],NCIH82, 1st Precursur Intermediate to TDP 665759,65.59875149,1.150195442,,-6.54668166,74.88542472
36,[4],NCIH841, 1st Precursur Intermediate to TDP 665759,76.2158588,0.108462257,,-5.455931956,76.37080374
37,[3],NCIH889, 1st Precursur Intermediate to TDP 665759,78.8390717,0.071146288,,-5.143875556,77.38033745
38,[1],SHP77, 1st Precursur Intermediate to TDP 665759,87.66156185,0.023636314,,-5.144480844,88.75963924
39,[4],SW1271, 1st Precursur Intermediate to TDP 665759,-257.1375031,0.011924898,1.49E-05,-4.634512015,-253.4512905
40,[1],COLO668, AS-703569 ,-103.1608176,1.208150778,1.24E-06,-4.761953897,-101.7937563
41,[1],CORL88, AS-703569 ,26.58482393,0.411588146,3.30E-05,-5.060980224,28.03312773
42,[3],CORL47, AS-703569 ,19.70890598,3.253758391,1.88E-09,-9.058985756,37.41219397
43,[4],DMS114, AS-703569 ,1.241988705,2.571276467,3.44E-08,-7.493494968,1.496911564
44,[2],DMS273, AS-703569 ,-72.76516864,4.517754328,2.17E-11,-5.36251027,-168.9876984
45,[1],DMS53, AS-703569 ,-40.58054572,0.796200326,5.42E-06,-4.63638802,-38.3890027
46,[3],DMS79, AS-703569 ,-437.7893507,0.028673501,1.30E-05,-4.596879479,-430.0741511
47,[4],NCIH1048, AS-703569 ,0.687525007,3.557081013,2.68E-09,-8.585026652,1.194485522
48,[3],NCIH1092, AS-703569 ,5.216241197,3.049433626,2.81E-05,-6.145693958,8.403645442
49,[3],NCIH1105, AS-703569 ,37.34776613,1.729117584,3.07E-08,-7.759450752,36.53698798
50,[4],NCIH1341, AS-703569 ,46.12063146,1.406215325,7.33E-08,-7.609064893,42.12115525
51,[3],NCIH1436, AS-703569 ,35.61925554,2.057493112,8.48E-09,-8.195860568,35.66326203
52,[3],NCIH146, AS-703569 ,12.07955229,3.54373596,1.65E-09,-9.070581074,22.79212251
53,[3],NCIH1618, AS-703569 ,-3.081257839,3.848184328,1.31E-09,-8.790484985,-6.647919705
54,[2],NCIH1694, AS-703569 ,-51.75425242,4.836156476,8.78E-16,-6.26520017,-157.1783875
55,[3],NCIH1836, AS-703569 ,-48.16817429,0.896057279,2.60E-06,-4.991399828,-47.53539273
56,[3],NCIH1876, AS-703569 ,37.1189215,2.076769441,5.75E-09,-8.302770657,33.77326154
57,[3],NCIH1930, AS-703569 ,49.90125735,1.486778554,3.18E-07,-7.966576245,51.165835
58,[4],NCIH196, AS-703569 ,-63.92102847,1.634691901,7.96E-07,-4.744727495,-71.31927649
59,[3],NCIH1963, AS-703569 ,16.07394348,2.740341343,5.63E-09,-8.26520017,16.90333746
60,[1],NCIH2029, AS-703569 ,-77.86641392,0.02830148,1.29E-05,-4.782516056,-75.01092137
61,[4],NCIH2066, AS-703569 ,-20.47660507,1.489372784,4.72E-07,-6.059483515,-19.78101611
62,[3],NCIH2081, AS-703569 ,7.373605178,3.527256562,2.45E-09,-9.041436117,13.10598668
63,[3],NCIH209, AS-703569 ,-14.02754419,4.204105379,1.13E-10,-8.954677021,-24.35014464
